,age,inheritance,payment,principal,coupon,prob_survival,prob_dying,prob_death,TIPS,annuity_payment,annuity_cost,discount,annuity_purchase,annuity_benefit,total_cost,tips_cost,annuity_cost2,,,Age,Inheritance,Payment,Principal,Coupon,Prob survival,Prob of dying,Prob death,TIPS,Payment,Cost,Discount,Purchase,Benefit,Total Cost,TIPS Cost,Annuity Cost,,Age,Inheritance,Payment,Principal,Coupon,Prob survival,Prob of dying,Prob death,TIPS,Payment,Cost,Discount,Purchase,Benefit,Total Cost,TIPS Cost,Annuity Cost
32,98,0,0,0,0,0.169808732,0.148697532,0.029660597,0,2575.082756,193.5814113,0.442702977,193.5814113,2575.082756,0,0,0,,32,98,$0,$0,$0,$0.0000000,16.98%,14.87%,2.97%,0.00%,"$2,575",$194,44.3%,$194,"$2,575",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
33,99,0,0,0,0,0.142381223,0.161520014,0.027427509,0,2652.335238,163.1059154,0.431905343,163.1059154,2652.335238,0,0,0,,33,99,$0,$0,$0,$0.0000000,14.24%,16.15%,2.74%,0.00%,"$2,652",$163,43.2%,$163,"$2,652",,,,, -   , -   , -   , -   , -   , 0 , (0), 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
34,100,0,0,0,0,0.117417508,0.175330109,0.024963715,0,2731.905296,135.1646767,0.421371066,135.1646767,2731.905296,0,0,0,,34,100,$0,$0,$0,$0.0000000,11.74%,17.53%,2.50%,0.00%,"$2,732",$135,42.1%,$135,"$2,732",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
35,101,0,0,0,0,0.095086856,0.190181623,0.022330652,0,2813.862454,109.9927847,0.411093723,109.9927847,2813.862454,0,0,0,,35,101,$0,$0,$0,$0.0000000,9.51%,19.02%,2.23%,0.00%,"$2,814",$110,41.1%,$110,"$2,814",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
36,102,0,0,0,0,0.075486894,0.206126935,0.019599962,0,2898.278328,87.74626189,0.401067047,87.74626189,2898.278328,0,0,0,,36,102,$0,$0,$0,$0.0000000,7.55%,20.61%,1.96%,0.00%,"$2,898",$88,40.1%,$88,"$2,898",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
37,103,0,0,0,0,0.058637017,0.223215925,0.016849877,0,2985.226678,68.4923862,0.391284924,68.4923862,2985.226678,0,0,0,,37,103,$0,$0,$0,$0.0000000,5.86%,22.32%,1.68%,0.00%,"$2,985",$68,39.1%,$68,"$2,985",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
38,104,0,0,0,0,0.044476487,0.241494717,0.01416053,0,3074.783478,52.20526038,0.381741389,52.20526038,3074.783478,0,0,0,,38,104,$0,$0,$0,$0.0000000,4.45%,24.15%,1.42%,0.00%,"$3,075",$52,38.2%,$52,"$3,075",,,,, -   , -   , -   , -   , -   , 0 , (0), 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
39,105,0,0,0,0,0.032867937,0.261004209,0.01160855,0,3167.026983,38.7676602,0.372430624,38.7676602,3167.026983,0,0,0,,39,105,$0,$0,$0,$0.0000000,3.29%,26.10%,1.16%,0.00%,"$3,167",$39,37.2%,$39,"$3,167",,,,, -   , -   , -   , -   , -   , 0 , (0), 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
40,106,0,0,0,0,0.023606462,0.281778392,0.009261474,0,3262.037792,27.9795945,0.36334695,27.9795945,3262.037792,0,0,0,,40,106,$0,$0,$0,$0.0000000,2.36%,28.18%,0.93%,0.00%,"$3,262",$28,36.3%,$28,"$3,262",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
41,107,0,0,0,0,0.016433817,0.303842445,0.007172645,0,3359.898926,19.57322175,0.354484829,19.57322175,3359.898926,0,0,0,,41,107,$0,$0,$0,$0.0000000,1.64%,30.38%,0.72%,0.00%,"$3,360",$20,35.4%,$20,"$3,360",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 , -   , -   , -   , -   
42,108,0,0,0,0,0.011056498,0.327210615,0.005377319,0,3460.695894,13.23289316,0.345838858,13.23289316,3460.695894,0,0,0,,42,108,$0,$0,$0,$0.0000000,1.11%,32.72%,0.54%,0.00%,"$3,461",$13,34.6%,$13,"$3,461",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
43,109,0,0,0,0,0.007165894,0.35188391,0.003890604,0,3564.51677,8.618287325,0.337403764,8.618287325,3564.51677,0,0,0,,43,109,$0,$0,$0,$0.0000000,0.72%,35.19%,0.39%,0.00%,"$3,565",$9,33.7%,$9,"$3,565",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
44,110,0,0,0,0,0.004458278,0.37784761,0.002707616,0,3671.452273,5.388043612,0.329174404,5.388043612,3671.452273,0,0,0,,44,110,$0,$0,$0,$0.0000000,0.45%,37.78%,0.27%,0.00%,"$3,671",$5,32.9%,$5,"$3,671",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 , -   , -   , -   , -   
45,111,0,0,0,0,0.002652369,0.40506868,0.001805909,0,3781.595842,3.221152563,0.32114576,3.221152563,3781.595842,0,0,0,,45,111,$0,$0,$0,$0.0000000,0.27%,40.51%,0.18%,0.00%,"$3,782",$3,32.1%,$3,"$3,782",,,,, -   , -   , -   , -   , -   , 0 , -   , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
46,112,0,0,0,0,0.001502585,0.433493137,0.001149784,0,3895.043717,1.833706523,0.313312936,1.833706523,3895.043717,0,0,0,,46,112,$0,$0,$0,$0.0000000,0.15%,43.35%,0.11%,0.00%,"$3,895",$2,31.3%,$2,"$3,895",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
47,113,0,0,0,0,0.000806823,0.463043479,0.000695762,0,4011.895028,0.989423704,0.305671157,0.989423704,4011.895028,0,0,0,,47,113,$0,$0,$0,$0.0000000,0.08%,46.30%,0.07%,0.00%,"$4,012",$1,30.6%,$1,"$4,012",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
48,114,0,0,0,0,0.000408562,0.49361631,0.000398261,0,4132.251879,0.503472065,0.298215763,0.503472065,4132.251879,0,0,0,,48,114,$0,$0,$0,$0.0000000,0.04%,49.36%,0.04%,0.00%,"$4,132",$1,29.8%,$1,"$4,132",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
49,115,0,0,0,0,0.000194034,0.525080321,0.000214528,0,4256.219436,0.240275176,0.290942208,0.240275176,4256.219436,0,0,0,,49,115,$0,$0,$0,$0.0000000,0.02%,52.51%,0.02%,0.00%,"$4,256",$0,29.1%,$0,"$4,256",,,,, -   , -   , -   , -   , -   , 0 , (0), 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
50,116,0,0,0,0,8.59E-05,0.55727482,0.00010813,0,4383.906019,0.106894777,0.283846057,0.106894777,4383.906019,0,0,0,,50,116,$0,$0,$0,$0.0000000,0.01%,55.73%,0.01%,0.00%,"$4,384",$0,28.4%,$0,"$4,384",,,,, -   , -   , -   , -   , -   , 0 , -   , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
51,117,0,0,0,0,3.52E-05,0.590009038,5.07E-05,0,4515.423199,0.044039677,0.276922982,0.044039677,4515.423199,0,0,0,,51,117,$0,$0,$0,$0.0000000,0.00%,59.00%,0.01%,0.00%,"$4,515",$0,27.7%,$0,"$4,515",,,,, -   , -   , -   , -   , -   , 0 , (0), (0), -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
52,118,0,0,0,0,1.33E-05,0.623062447,2.19E-05,0,4650.885895,0.016681185,0.270168763,0.016681185,4650.885895,0,0,0,,52,118,$0,$0,$0,$0.0000000,0.00%,62.31%,0.00%,0.00%,"$4,651",$0,27.0%,$0,"$4,651",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
53,119,0,0,0,0,4.56E-06,0.656186353,8.71E-06,0,4790.412472,0.005763196,0.263579281,0.005763196,4790.412472,0,0,0,,53,119,$0,$0,$0,$0.0000000,0.00%,65.62%,0.00%,0.00%,"$4,790",$0,26.4%,$0,"$4,790",,,,, -   , -   , -   , -   , -   , 0 , (0), 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
54,120,0,0,0,0,1.42E-06,0.689106986,3.15E-06,0,4934.124846,0.001800477,0.257150518,0.001800477,4934.124846,0,0,0,,54,120,$0,$0,$0,$0.0000000,0.00%,68.91%,0.00%,0.00%,"$4,934",$0,25.7%,$0,"$4,934",,,,, -   , -   , -   , -   , -   , 0 , (0), 0 , -   , -   , 0 , 0 , 0 , -   , -   , -   , -   
